Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,56.00,44.00,16.13,37.20,181.00,0.887
1,13.00,125.00,17.49,36.07,210.50,0.906
2,119.00,220.00,16.62,33.06,195.00,0.925
3,279.00,243.00,18.92,32.43,247.00,0.854
4,67.00,75.00,16.29,35.50,181.00,0.887
5,131.00,279.00,20.28,33.40,281.50,0.895
6,41.00,232.00,18.71,34.41,252.50,0.890
7,173.00,225.00,21.91,32.83,346.50,0.905
8,256.00,227.00,18.60,31.17,229.00,0.872
9,103.00,24.00,19.52,35.79,265.00,0.882
10,181.00,20.00,21.71,30.43,330.50,0.863
11,297.00,39.00,20.45,35.75,292.50,0.883
12,189.00,61.00,20.50,33.81,299.00,0.864
13,308.00,108.00,22.54,33.96,351.00,0.881
14,255.00,72.00,29.43,24.53,585.50,0.866
18,236.00,206.00,36.91,19.67,951.50,0.866
73,181.00,20.00,21.71,33.10,334.00,0.858
132,102.00,351.00,26.25,33.38,491.50,0.879
133,226.00,413.00,18.78,32.47,244.50,0.887
134,249.00,432.00,19.65,32.28,263.00,0.885
135,310.00,368.00,23.48,33.32,391.00,0.879
136,122.00,481.00,15.55,32.74,171.00,0.909
137,59.00,451.00,18.78,33.33,252.00,0.871
138,260.00,330.00,18.03,32.10,224.00,0.915
139,210.00,421.00,13.93,31.61,133.00,0.920
140,171.00,328.00,26.32,32.81,496.00,0.892
150,220.00,416.00,32.89,31.59,396.00,0.562
159,283.00,440.00,12.47,11.05,86.50,0.821
191,436.00,299.00,18.60,32.25,238.50,0.890
192,375.00,177.00,21.41,33.51,317.50,0.871
193,403.00,262.00,20.88,31.53,292.50,0.883
194,412.00,177.00,17.34,34.91,205.00,0.874
195,467.00,60.00,23.16,34.95,363.50,0.868
196,468.00,29.00,13.46,36.75,119.00,0.928
197,382.00,122.00,26.52,34.64,493.50,0.900
198,494.00,196.00,11.75,33.67,94.50,0.897
199,447.00,279.00,26.51,32.88,481.50,0.871
202,411.00,139.00,17.31,10.40,187.50,0.882
211,376.00,158.00,15.29,10.59,141.50,0.839
212,362.00,153.00,13.68,10.22,112.00,0.838
213,425.00,123.00,18.90,11.10,226.50,0.821
215,279.00,243.00,18.97,32.81,255.00,0.882
216,484.00,239.00,19.08,11.17,218.00,0.854
217,467.00,60.00,23.25,35.41,367.00,0.863
219,493.00,103.00,17.00,10.66,162.50,0.815
221,354.00,232.00,13.46,10.13,115.00,0.897
227,362.00,195.00,17.89,10.05,194.00,0.827
232,474.00,183.00,21.98,10.44,293.50,0.846
235,466.00,205.00,17.10,10.51,182.00,0.864
236,457.00,144.00,17.46,10.29,144.00,0.832
237,448.00,123.00,19.90,11.02,223.00,0.849
242,397.00,165.00,16.19,10.52,160.50,0.862
243,431.00,144.00,14.99,11.54,135.50,0.803
246,353.00,104.00,15.55,10.22,144.00,0.804
248,441.00,43.00,12.24,11.56,94.50,0.880
251,409.00,96.00,15.65,10.50,126.00,0.813
255,408.00,113.00,12.26,10.70,88.50,0.824
259,408.00,25.00,16.64,10.48,155.00,0.853
267,372.00,141.00,13.94,10.00,119.50,0.836
268,353.00,136.00,12.22,10.73,83.00,0.798
270,498.00,177.00,14.03,11.09,106.00,0.794
271,464.00,14.00,14.32,10.68,116.50,0.848
274,441.00,187.00,17.46,10.28,165.00,0.809
281,352.00,437.00,16.16,31.72,174.00,0.882
282,391.00,440.00,20.11,31.99,276.50,0.879
283,313.00,314.00,30.61,26.86,659.00,0.876
284,445.00,424.00,18.45,31.81,236.50,0.893
285,352.00,433.00,25.52,26.72,259.00,0.665
293,448.00,211.00,17.49,11.01,162.50,0.721
303,379.00,320.00,15.03,10.61,137.00,0.821
311,313.00,314.00,30.49,29.73,649.50,0.873
413,116.00,363.00,9.85,27.32,60.50,0.921
419,250.00,344.00,11.35,10.10,76.50,0.854
422,392.00,20.00,12.08,10.83,79.50,0.845
424,402.00,125.00,11.40,10.99,69.50,0.815
426,455.00,177.00,12.08,10.26,76.50,0.797
427,476.00,222.00,11.77,10.28,81.50,0.826
428,444.00,168.00,11.48,10.77,66.00,0.803
429,495.00,162.00,11.24,10.29,74.00,0.838
431,443.00,154.00,10.77,11.75,68.50,0.821
437,360.00,358.00,11.36,10.91,73.00,0.844
439,387.00,418.00,11.67,10.64,75.50,0.843
441,388.00,417.00,9.46,12.22,47.50,0.836
